type	time	latitude	longitude	altitude (ft)	speed (mph)	distance_interval (ft)	name	desc
T	2022-07-15 00:16:36.8	33.968016737	-118.446936165	6.4	0.0	0.00	2022-07-14 PM 05:16:36	
T	2022-07-15 00:16:38.7	33.967940591	-118.446925445	6.4	10.0	27.97		
T	2022-07-15 00:16:40.6	33.967916512	-118.446936248	6.5	3.4	9.37		
T	2022-07-15 00:16:42.5	33.967904236	-118.446915492	6.4	2.8	7.72		
T	2022-07-15 00:16:44.4	33.967899223	-118.446920252	6.4	0.8	2.33		
T	2022-07-15 00:16:46.3	33.967898706	-118.446926112	6.3	0.6	1.76		
T	2022-07-15 00:16:48.199	33.967898706	-118.446926112	6.3	0.1	0.31		
T	2022-07-15 00:16:50.099	33.967898706	-118.446926112	6.3	0.1	0.31		
T	2022-07-15 00:16:51.049	33.967898706	-118.446926112	6.3		0.31		
T	2022-07-15 00:16:52	33.967898706	-118.446926112	6.3	0.1	0.31		
T	2022-07-15 00:16:53	33.967898706	-118.446926112	6.3	0.1	0.31		
T	2022-07-15 00:16:55.001	33.967898706	-118.446926112	6.3	0.1	0.31		
T	2022-07-15 00:16:56.001	33.967898706	-118.446926112	6.3	0.1	0.31		
T	2022-07-15 00:16:57.001	33.967904771	-118.446919516	6.3	1.0	2.99		
T	2022-07-15 00:16:59.001	33.967913968	-118.446909893	6.3	1.7	4.45		
T	2022-07-15 00:17:01	33.967919770	-118.446905757	6.3	1.2	2.45		
T	2022-07-15 00:17:02	33.967919770	-118.446905757	6.3	0.6	0.00		
T	2022-07-15 00:17:03	33.967933886	-118.446898067	6.4	1.9	5.64		
T	2022-07-15 00:17:04	33.967933886	-118.446898067	6.4	1.9	0.00		
T	2022-07-15 00:17:05	33.967933886	-118.446898067	6.4	0.0	0.00		
T	2022-07-15 00:17:06	33.967933886	-118.446898067	6.4	0.0	0.00		
T	2022-07-15 00:17:07	33.967933886	-118.446898067	6.4	0.0	0.00		
T	2022-07-15 00:17:08	33.967933886	-118.446898067	6.4	0.0	0.00		
T	2022-07-15 00:17:09	33.967886491	-118.446936816	6.5	7.1	20.89		
T	2022-07-15 00:17:10	33.967886491	-118.446936816	6.5	7.1	0.00		
T	2022-07-15 00:17:11	33.967886491	-118.446936816	6.5	0.0	0.00		
T	2022-07-15 00:17:12	33.967886491	-118.446936816	6.5	0.0	0.00		
T	2022-07-15 00:17:13	33.967886491	-118.446936816	6.5	0.0	0.00		
T	2022-07-15 00:17:14	33.967886491	-118.446936816	6.5	0.0	0.00		
T	2022-07-15 00:17:15	33.967864975	-118.446940910	4.8	2.7	7.94		
T	2022-07-15 00:17:16	33.967864210	-118.446940880	4.2	2.8	0.00		
T	2022-07-15 00:17:17	33.967862760	-118.446938771	4.5	0.4	0.88		
T	2022-07-15 00:17:18	33.967862760	-118.446938771	4.5	0.3	0.00		
T	2022-07-15 00:17:19	33.967862760	-118.446938771	4.5	0.0	0.00		
T	2022-07-15 00:17:20	33.967862760	-118.446938771	4.5	0.0	0.00		
T	2022-07-15 00:17:21	33.967862760	-118.446938771	4.5	0.0	0.00		
T	2022-07-15 00:17:22	33.967862760	-118.446938771	4.5	0.0	0.00		
T	2022-07-15 00:17:23	33.967862760	-118.446938771	4.5	0.0	0.00		
T	2022-07-15 00:17:24	33.967862760	-118.446938771	4.5	0.0	0.00		
T	2022-07-15 00:17:25	33.967869659	-118.446948885	6.8	1.4	3.95		
T	2022-07-15 00:17:26	33.967867994	-118.446949676	6.6	1.3	0.62		
T	2022-07-15 00:17:27	33.967863297	-118.446953696	8.1	0.9	2.11		
T	2022-07-15 00:17:28	33.967862616	-118.446954355	8.5	0.8	0.44		
T	2022-07-15 00:17:29	33.967862616	-118.446954355	8.5	0.2	0.31		
T	2022-07-15 00:17:30	33.967869901	-118.446948918	6.5	1.1	3.15		
T	2022-07-15 00:17:31	33.967870873	-118.446952023	5.8	1.1	0.98		
T	2022-07-15 00:17:32	33.967871672	-118.446949265	4.2	0.2	0.88		
T	2022-07-15 00:17:33	33.967896283	-118.446939725	8.4	3.4	9.43		
T	2022-07-15 00:17:34	33.967880241	-118.446942333	7.1	1.3	5.91		
T	2022-07-15 00:17:35	33.967879391	-118.446937970	8.8	2.1	1.36		
T	2022-07-15 00:17:36.001	33.967873375	-118.446938772	4.0	0.9	2.20		
T	2022-07-15 00:17:37.001	33.967872525	-118.446931914	4.0	1.1	2.11		
T	2022-07-15 00:17:38.001	33.967871505	-118.446925549	2.6	1.4	1.99		
T	2022-07-15 00:17:39.001	33.967871505	-118.446925549	2.6	0.7	0.44		
T	2022-07-15 00:17:40.001	33.967871505	-118.446925549	2.6	0.2	0.44		
T	2022-07-15 00:17:41.001	33.967871505	-118.446925549	2.6	0.2	0.44		
T	2022-07-15 00:17:42.001	33.967871505	-118.446925549	2.6	0.2	0.44		
T	2022-07-15 00:17:43.001	33.967871505	-118.446925549	2.6	0.2	0.44		
T	2022-07-15 00:17:44.001	33.967871505	-118.446925549	2.6	0.2	0.44		
T	2022-07-15 00:17:45.001	33.967871505	-118.446925549	2.6	0.2	0.44		
T	2022-07-15 00:17:46.001	33.967852731	-118.446898697	12.6	3.6	10.63		
T	2022-07-15 00:17:47.001	33.967859855	-118.446902277	9.9	2.8	2.82		
T	2022-07-15 00:17:48.001	33.967859993	-118.446899841	8.0	0.9	0.76		
T	2022-07-15 00:17:49.001	33.967863446	-118.446900012	7.2	0.5	1.25		
T	2022-07-15 00:17:50.001	33.967875052	-118.446904397	7.2	1.9	4.43		
T	2022-07-15 00:17:51.001	33.967879767	-118.446906024	5.8	2.1	1.76		
T	2022-07-15 00:17:52.001	33.967876941	-118.446903412	5.6	0.3	1.28		
T	2022-07-15 00:17:53.001	33.967873510	-118.446905631	5.8	0.8	1.46		
T	2022-07-15 00:17:54.001	33.967873510	-118.446905631	5.8	0.5	0.00		
T	2022-07-15 00:17:55.001	33.967873510	-118.446905631	5.8	0.0	0.00		
T	2022-07-15 00:17:56.001	33.967882864	-118.446936143	5.7	3.4	9.84		
T	2022-07-15 00:17:57.001	33.967876318	-118.446931746	5.5	2.7	2.73		
T	2022-07-15 00:17:58.001	33.967878794	-118.446933096	3.5	0.6	1.08		
T	2022-07-15 00:17:59.001	33.967877576	-118.446934304	6.2	0.3	0.62		
T	2022-07-15 00:18:00.001	33.967876442	-118.446934455	4.0	0.4	0.44		
T	2022-07-15 00:18:01.001	33.967873146	-118.446934534	6.7	0.6	1.21		
T	2022-07-15 00:18:02.001	33.967872704	-118.446936645	6.2	0.5	0.70		
T	2022-07-15 00:18:03.001	33.967872704	-118.446936645	6.2	0.2	0.31		
T	2022-07-15 00:18:04.001	33.967872704	-118.446936645	6.2	0.1	0.31		
T	2022-07-15 00:18:05.001	33.967872704	-118.446936645	6.2	0.1	0.31		
T	2022-07-15 00:18:06.001	33.967872704	-118.446936645	6.2	0.1	0.31		
T	2022-07-15 00:18:07.001	33.967872704	-118.446936645	6.2	0.1	0.31		
T	2022-07-15 00:18:08.001	33.967872704	-118.446936645	6.2	0.1	0.31		
T	2022-07-15 00:18:09.001	33.967872704	-118.446936645	6.2	0.1	0.31		
T	2022-07-15 00:18:10.001	33.967872704	-118.446936645	6.2	0.1	0.31		
T	2022-07-15 00:18:11.001	33.967872704	-118.446936645	6.2	0.1	0.31		
T	2022-07-15 00:18:12.001	33.967872704	-118.446936645	6.2	0.1	0.31		
T	2022-07-15 00:18:13.001	33.967872704	-118.446936645	6.2	0.1	0.31		
T	2022-07-15 00:18:14.001	33.967872704	-118.446936645	6.2	0.1	0.31		
T	2022-07-15 00:18:15.001	33.967872704	-118.446936645	6.2	0.1	0.31		
T	2022-07-15 00:18:16.001	33.967872704	-118.446936645	6.2	0.1	0.31		
T	2022-07-15 00:18:17.001	33.967872704	-118.446936645	6.2	0.1	0.31		
T	2022-07-15 00:18:18.001	33.967867438	-118.446935343	5.5	0.7	1.97		
T	2022-07-15 00:18:19.001	33.967867438	-118.446935343	5.5	0.7	0.00		
T	2022-07-15 00:18:20.001	33.967867438	-118.446935343	5.5	0.0	0.00		
T	2022-07-15 00:18:21.001	33.967867438	-118.446935343	5.5	0.0	0.00		
T	2022-07-15 00:18:22.001	33.967867438	-118.446935343	5.5	0.0	0.00		
T	2022-07-15 00:18:23.001	33.967867438	-118.446935343	5.5	0.0	0.00		
T	2022-07-15 00:18:24.001	33.967867438	-118.446935343	5.5	0.0	0.00		
T	2022-07-15 00:18:25.001	33.967867438	-118.446935343	5.5	0.0	0.00		
T	2022-07-15 00:18:26.001	33.967867438	-118.446935343	5.5	0.0	0.00		
T	2022-07-15 00:18:27.001	33.967867438	-118.446935343	5.5	0.0	0.00		
T	2022-07-15 00:18:28.001	33.967867438	-118.446935343	5.5	0.0	0.00		
T	2022-07-15 00:18:29.001	33.967867438	-118.446935343	5.5	0.0	0.00		
T	2022-07-15 00:18:30.001	33.967867438	-118.446935343	5.5	0.0	0.00		
T	2022-07-15 00:18:31.001	33.967867438	-118.446935343	5.5	0.0	0.00		
T	2022-07-15 00:18:32.001	33.967867438	-118.446935343	5.5	0.0	0.00		
T	2022-07-15 00:18:33.001	33.967867438	-118.446935343	5.5	0.0	0.00		
T	2022-07-15 00:18:34.001	33.967867438	-118.446935343	5.5	0.0	0.00		
T	2022-07-15 00:18:35.001	33.967867438	-118.446935343	5.5	0.0	0.00		
T	2022-07-15 00:18:36.001	33.967867438	-118.446935343	5.5	0.0	0.00		
T	2022-07-15 00:18:37.001	33.967867438	-118.446935343	5.5	0.0	0.00		
T	2022-07-15 00:18:38.001	33.967867438	-118.446935343	5.5	0.0	0.00		
T	2022-07-15 00:18:39.001	33.967867438	-118.446935343	5.5	0.0	0.00		
T	2022-07-15 00:18:40.001	33.967875176	-118.446940295	5.8	1.1	3.18		
T	2022-07-15 00:18:41.001	33.967875128	-118.446940253	5.8	1.1	0.00		
T	2022-07-15 00:18:42.001	33.967875128	-118.446940253	5.8	0.0	0.00		
T	2022-07-15 00:18:43.001	33.967875128	-118.446940253	5.8	0.0	0.00		
T	2022-07-15 00:18:44.001	33.967875128	-118.446940253	5.8	0.0	0.00		
T	2022-07-15 00:18:45	33.967875128	-118.446940253	5.8	0.0	0.00		
T	2022-07-15 00:18:46	33.967875128	-118.446940253	5.8	0.0	0.00		
T	2022-07-15 00:18:47	33.967875128	-118.446940253	5.8	0.0	0.00		
T	2022-07-15 00:18:48	33.967875128	-118.446940253	5.8	0.0	0.00		
T	2022-07-15 00:18:49	33.967875128	-118.446940253	5.8	0.0	0.00		
T	2022-07-15 00:18:50	33.967875128	-118.446940253	5.8	0.0	0.00		
T	2022-07-15 00:18:51	33.967875128	-118.446940253	5.8	0.0	0.00		
T	2022-07-15 00:18:52	33.967875128	-118.446940253	5.8	0.0	0.00		
T	2022-07-15 00:18:53	33.967875128	-118.446940253	5.8	0.0	0.00		
T	2022-07-15 00:18:54	33.967875128	-118.446940253	5.8	0.0	0.00		
T	2022-07-15 00:18:55	33.967875128	-118.446940253	5.8	0.0	0.00		
T	2022-07-15 00:18:56	33.967875128	-118.446940253	5.8	0.0	0.00		
T	2022-07-15 00:18:57	33.967875128	-118.446940253	5.8	0.0	0.00		
T	2022-07-15 00:18:58	33.967875128	-118.446940253	5.8	0.0	0.00		
T	2022-07-15 00:18:59	33.967875128	-118.446940253	5.8	0.0	0.00		
T	2022-07-15 00:19:00	33.967875128	-118.446940253	5.8	0.0	0.00		
T	2022-07-15 00:19:01	33.967875128	-118.446940253	5.8	0.0	0.00		
T	2022-07-15 00:19:02	33.967875128	-118.446940253	5.8	0.0	0.00		
T	2022-07-15 00:19:03	33.967875128	-118.446940253	5.8	0.0	0.00		
T	2022-07-15 00:19:04	33.967875790	-118.446935165	5.2	0.5	1.59		
T	2022-07-15 00:19:05	33.967881547	-118.446933149	5.9	1.1	2.20		
T	2022-07-15 00:19:06	33.967905516	-118.446927414	5.9	3.8	8.91		
T	2022-07-15 00:19:07	33.967908756	-118.446922551	4.3	3.6	1.87		
T	2022-07-15 00:19:08	33.967915316	-118.446914921	5.3	1.8	3.31		
T	2022-07-15 00:19:09	33.967909360	-118.446916363	4.5	0.6	2.22		
T	2022-07-15 00:19:10	33.967908837	-118.446922519	4.3	1.1	1.87		
T	2022-07-15 00:19:11	33.967907576	-118.446915390	3.1	0.2	2.18		
T	2022-07-15 00:19:12	33.967911253	-118.446921975	-0.2	0.3	2.37		
T	2022-07-15 00:19:13	33.967911643	-118.446918530	0.1	0.6	1.08		
T	2022-07-15 00:19:14	33.967908683	-118.446919700	1.6	0.4	1.08		
T	2022-07-15 00:19:15	33.967907445	-118.446922386	4.3	0.7	0.88		
T	2022-07-15 00:19:16	33.967907445	-118.446922386	4.3	0.3	0.00		
T	2022-07-15 00:19:17	33.967907445	-118.446922386	4.3	0.0	0.00		
T	2022-07-15 00:19:18	33.967912698	-118.446922834	1.9	0.7	1.95		
T	2022-07-15 00:19:19	33.967918308	-118.446921102	2.7	1.4	2.16		
T	2022-07-15 00:19:20	33.967918196	-118.446924821	4.1	0.7	1.17		
T	2022-07-15 00:19:21	33.967916528	-118.446925073	5.5	0.5	0.62		
T	2022-07-15 00:19:22	33.967917252	-118.446926944	6.8	0.3	0.62		
T	2022-07-15 00:19:23	33.967914795	-118.446930692	6.8	0.6	1.46		
T	2022-07-15 00:19:24	33.967914747	-118.446931572	6.8	0.6	0.00		
T	2022-07-15 00:19:25	33.967904991	-118.446926777	6.6	1.3	3.84		
T	2022-07-15 00:19:26	33.967904806	-118.446926626	6.3	1.3	0.31		
T	2022-07-15 00:19:27	33.967906638	-118.446922064	6.2	0.5	1.53		
T	2022-07-15 00:19:28	33.967907561	-118.446921782	6.1	0.6	0.00		
T	2022-07-15 00:19:29	33.967898261	-118.446929256	-0.3	1.3	4.06		
T	2022-07-15 00:19:30	33.967899464	-118.446923758	1.7	1.0	1.71		
T	2022-07-15 00:19:31	33.967899464	-118.446923758	1.7	0.6	0.31		
T	2022-07-15 00:19:32	33.967899464	-118.446923758	1.7	0.1	0.31		
T	2022-07-15 00:19:33	33.967899464	-118.446923758	1.7	0.1	0.31		
T	2022-07-15 00:19:34	33.967906592	-118.446911510	14.4	1.5	4.54		
T	2022-07-15 00:19:35	33.967911114	-118.446908042	15.8	2.2	1.97		
T	2022-07-15 00:19:36	33.967912163	-118.446912554	13.3	0.7	1.46		
T	2022-07-15 00:19:37	33.967906242	-118.446916131	11.5	1.0	2.41		
T	2022-07-15 00:19:38	33.967893160	-118.446917452	21.8	2.4	4.78		
T	2022-07-15 00:19:39	33.967897508	-118.446916035	11.6	1.1	1.62		
T	2022-07-15 00:19:40	33.967906743	-118.446918975	9.9	1.7	3.47		
T	2022-07-15 00:19:41	33.967899699	-118.446917987	9.9	0.3	2.57		
T	2022-07-15 00:19:42	33.967899699	-118.446917987	9.9	0.9	0.31		
T	2022-07-15 00:19:43	33.967899699	-118.446917987	9.9	0.1	0.31		
T	2022-07-15 00:19:44	33.967899699	-118.446917987	9.9	0.1	0.31		
T	2022-07-15 00:19:45	33.967899699	-118.446917987	9.9	0.1	0.31		
T	2022-07-15 00:19:46	33.967899699	-118.446917987	9.9	0.1	0.31		
T	2022-07-15 00:19:47	33.967899699	-118.446917987	9.9	0.1	0.31		
T	2022-07-15 00:19:48	33.967899699	-118.446917987	9.9	0.1	0.31		
T	2022-07-15 00:19:49	33.967899699	-118.446917987	9.9	0.1	0.31		
T	2022-07-15 00:19:50	33.967899699	-118.446917987	9.9	0.1	0.31		
T	2022-07-15 00:19:51	33.967899699	-118.446917987	9.9	0.1	0.31		
T	2022-07-15 00:19:52	33.967899699	-118.446917987	9.9	0.1	0.31		
T	2022-07-15 00:19:53	33.967899699	-118.446917987	9.9	0.1	0.31		
T	2022-07-15 00:19:54	33.967899699	-118.446917987	9.9	0.1	0.31		
T	2022-07-15 00:19:55	33.967899699	-118.446917987	9.9	0.1	0.31		
T	2022-07-15 00:19:56	33.967899699	-118.446917987	9.9	0.1	0.31		
T	2022-07-15 00:19:57	33.967899699	-118.446917987	9.9	0.1	0.31		
T	2022-07-15 00:19:58	33.967899699	-118.446917987	9.9	0.1	0.31		
T	2022-07-15 00:19:59	33.967899699	-118.446917987	9.9	0.1	0.31		
T	2022-07-15 00:20:00	33.967899699	-118.446917987	9.9	0.1	0.31		
T	2022-07-15 00:20:01	33.967899699	-118.446917987	9.9	0.1	0.31		
T	2022-07-15 00:20:02	33.967899699	-118.446917987	9.9	0.1	0.31		
T	2022-07-15 00:20:03	33.967899699	-118.446917987	9.9	0.1	0.31		
T	2022-07-15 00:20:04	33.967899699	-118.446917987	9.9	0.1	0.31		
T	2022-07-15 00:20:05	33.967899699	-118.446917987	9.9	0.1	0.31		
T	2022-07-15 00:20:06	33.967932003	-118.446916758	0.1	4.0	11.79		
T	2022-07-15 00:20:07	33.967932944	-118.446915908	2.2	4.1	0.44		
T	2022-07-15 00:20:08	33.967937860	-118.446913000	2.5	0.8	2.02		
T	2022-07-15 00:20:09	33.967943227	-118.446911028	-13.4	1.4	2.07		
T	2022-07-15 00:20:10	33.967933950	-118.446908858	-11.8	0.7	3.44		
T	2022-07-15 00:20:11	33.967941945	-118.446905505	-9.6	0.6	3.08		
T	2022-07-15 00:20:12	33.967942848	-118.446911363	-7.8	1.1	1.82		
T	2022-07-15 00:20:13	33.967941043	-118.446926751	-2.8	2.2	4.70		
T	2022-07-15 00:20:14	33.967947414	-118.446926741	-1.9	1.7	2.33		
T	2022-07-15 00:20:15	33.967936556	-118.446927248	1.2	0.6	3.96		
T	2022-07-15 00:20:16	33.967929973	-118.446927680	2.0	2.2	2.41		
T	2022-07-15 00:20:17	33.967929356	-118.446924634	3.6	0.9	0.98		
T	2022-07-15 00:20:18	33.967928334	-118.446927250	4.7	0.2	0.88		
T	2022-07-15 00:20:19	33.967930660	-118.446924876	5.5	0.2	1.03		
T	2022-07-15 00:20:20	33.967929453	-118.446924708	6.2	0.3	0.00		
T	2022-07-15 00:20:21	33.967929736	-118.446925292	6.5	0.1	0.00		
T	2022-07-15 00:20:22	33.967932428	-118.446926262	6.8	0.4	1.08		
T	2022-07-15 00:20:23	33.967932103	-118.446924699	6.9	0.3	0.44		
T	2022-07-15 00:20:24	33.967932680	-118.446922905	6.9	0.3	0.62		
T	2022-07-15 00:20:25	33.967933480	-118.446923015	7.0	0.3	0.44		
T	2022-07-15 00:20:26	33.967933698	-118.446922909	7.1	0.2	0.00		
T	2022-07-15 00:20:27	33.967939367	-118.446915941	7.2	1.0	2.95		
T	2022-07-15 00:20:28	33.967939485	-118.446908629	6.4	1.6	2.20		
T	2022-07-15 00:20:29	33.967941610	-118.446905840	6.1	1.1	1.08		
T	2022-07-15 00:20:30	33.967940689	-118.446902944	7.0	0.6	0.93		
T	2022-07-15 00:20:31	33.967940435	-118.446902859	7.0	0.3	0.31		
T	2022-07-15 00:20:32	33.967950214	-118.446903789	8.3	1.2	3.56		
T	2022-07-15 00:20:33	33.967949749	-118.446904559	8.1	1.2	0.00		
T	2022-07-15 00:20:34	33.967952128	-118.446896093	7.5	0.8	2.68		
T	2022-07-15 00:20:35	33.967952268	-118.446896580	7.6	0.9	0.00		
T	2022-07-15 00:20:36	33.967949314	-118.446897887	7.5	0.4	1.08		
T	2022-07-15 00:20:37	33.967949924	-118.446900277	6.8	0.5	0.76		
T	2022-07-15 00:20:38	33.967954877	-118.446902768	8.9	0.8	1.92		
T	2022-07-15 00:20:39	33.967955560	-118.446903595	10.1	0.8	0.31		
T	2022-07-15 00:20:40	33.967963247	-118.446891741	11.2	1.5	4.56		
T	2022-07-15 00:20:41	33.967956725	-118.446897534	10.8	0.6	2.99		
T	2022-07-15 00:20:42	33.967957267	-118.446895263	9.7	0.8	0.62		
T	2022-07-15 00:20:43	33.967955268	-118.446898078	9.1	0.3	1.08		
T	2022-07-15 00:20:44	33.967954296	-118.446908656	7.4	1.4	3.24		
T	2022-07-15 00:20:45	33.967948354	-118.446914954	6.0	1.9	2.89		
T	2022-07-15 00:20:46	33.967949715	-118.446909828	4.4	0.6	1.65		
T	2022-07-15 00:20:47	33.967955631	-118.446920629	3.6	1.1	3.92		
T	2022-07-15 00:20:48	33.967955399	-118.446919192	3.5	1.2	0.44		
T	2022-07-15 00:20:49	33.967960253	-118.446927624	2.2	0.9	3.08		
T	2022-07-15 00:20:50	33.967960936	-118.446931171	3.3	1.4	1.12		
T	2022-07-15 00:20:51	33.967968869	-118.446932340	3.0	1.2	2.92		
T	2022-07-15 00:20:52	33.967974334	-118.446932835	3.5	1.7	1.97		
T	2022-07-15 00:20:53	33.967990425	-118.446933486	6.8	2.7	5.87		
T	2022-07-15 00:20:54	33.968007851	-118.446930891	7.3	4.2	6.41		
T	2022-07-15 00:20:55	33.968015837	-118.446930961	5.3	3.2	2.92		
T	2022-07-15 00:20:56	33.968022081	-118.446923153	6.0	1.9	3.30		
T	2022-07-15 00:20:57	33.968018154	-118.446924310	5.9	0.7	1.43		
T	2022-07-15 00:20:58	33.968014181	-118.446921775	-1.3	1.0	1.65		
T	2022-07-15 00:20:59	33.968029432	-118.446914569	-2.7	1.7	5.97		
T	2022-07-15 00:21:00	33.968033158	-118.446910451	-1.7	2.6	1.87		
T	2022-07-15 00:21:00.999	33.968029207	-118.446900380	-0.1	1.5	3.38		
T	2022-07-15 00:21:02	33.968038618	-118.446889200	2.5	2.3	4.82		
T	2022-07-15 00:21:03	33.968037394	-118.446891700	2.4	1.4	0.82		
T	2022-07-15 00:21:04	33.968038623	-118.446884889	3.6	0.5	2.11		
T	2022-07-15 00:21:05	33.968046141	-118.446881430	3.4	1.5	2.95		
T	2022-07-15 00:21:06	33.968046959	-118.446880626	4.1	1.1	0.00		
T	2022-07-15 00:21:06.999	33.968049487	-118.446876264	5.3	0.7	1.59		
T	2022-07-15 00:21:08	33.968049487	-118.446876264	5.3	0.6	0.00		
T	2022-07-15 00:21:08.999	33.968049487	-118.446876264	5.3	0.0	0.00		
T	2022-07-15 00:21:09.999	33.968049487	-118.446876264	5.3	0.0	0.00		
T	2022-07-15 00:21:11	33.968049487	-118.446876264	5.3	0.0	0.00		
T	2022-07-15 00:21:12	33.968072244	-118.446862651	6.0	3.2	9.27		
T	2022-07-15 00:21:13	33.968078506	-118.446854572	5.8	4.2	3.35		
T	2022-07-15 00:21:14	33.968080476	-118.446848349	5.9	1.8	2.04		
T	2022-07-15 00:21:15	33.968080476	-118.446848349	5.9	0.7	0.00		
T	2022-07-15 00:21:16	33.968089512	-118.446842571	5.8	1.3	3.74		
T	2022-07-15 00:21:17	33.968089512	-118.446842571	5.8	1.3	0.31		
T	2022-07-15 00:21:18	33.968095255	-118.446830339	6.6	1.4	4.25		
T	2022-07-15 00:21:19	33.968091468	-118.446814546	6.7	2.9	4.96		
T	2022-07-15 00:21:20	33.968091162	-118.446815395	6.6	1.6	0.00		
T	2022-07-15 00:21:21	33.968091162	-118.446815395	6.6	0.0	0.00		
T	2022-07-15 00:21:22	33.968092737	-118.446799638	6.4	1.6	4.78		
T	2022-07-15 00:21:23	33.968093163	-118.446791097	6.1	2.5	2.57		
T	2022-07-15 00:21:24	33.968090990	-118.446790978	5.5	0.9	0.76		
T	2022-07-15 00:21:25	33.968091006	-118.446784348	6.8	0.7	1.97		
T	2022-07-15 00:21:26	33.968091006	-118.446784348	6.8	0.7	0.00		
T	2022-07-15 00:21:27	33.968091006	-118.446784348	6.8	0.0	0.00		
T	2022-07-15 00:21:28	33.968093135	-118.446771334	6.0	1.4	4.03		
T	2022-07-15 00:21:29	33.968093135	-118.446771334	6.0	1.4	0.00		
T	2022-07-15 00:21:30	33.968093135	-118.446771334	6.0	0.0	0.00		
T	2022-07-15 00:21:31	33.968093135	-118.446771334	6.0	0.0	0.00		
T	2022-07-15 00:21:32	33.968093135	-118.446771334	6.0	0.0	0.00		
T	2022-07-15 00:21:33	33.968093135	-118.446771334	6.0	0.0	0.00		
T	2022-07-15 00:21:34	33.968093135	-118.446771334	6.0	0.0	0.00		
T	2022-07-15 00:21:35	33.968093135	-118.446771334	6.0	0.0	0.00		
T	2022-07-15 00:21:36	33.968093135	-118.446771334	6.0	0.0	0.00		
T	2022-07-15 00:21:37	33.968099618	-118.446744821	6.5	2.9	8.36		
T	2022-07-15 00:21:38	33.968101662	-118.446737357	5.1	3.7	2.37		
T	2022-07-15 00:21:39	33.968101571	-118.446739484	4.9	0.6	0.62		
T	2022-07-15 00:21:40	33.968101959	-118.446732972	6.7	0.5	1.97		
T	2022-07-15 00:21:41	33.968101959	-118.446732972	6.7	0.7	0.00		
T	2022-07-15 00:21:42	33.968101959	-118.446732972	6.7	0.0	0.00		
T	2022-07-15 00:21:43	33.968101959	-118.446732972	6.7	0.0	0.00		
T	2022-07-15 00:21:44	33.968097699	-118.446721242	9.4	1.3	3.87		
T	2022-07-15 00:21:45	33.968095545	-118.446719887	10.2	1.6	0.82		
T	2022-07-15 00:21:46	33.968093418	-118.446706329	11.9	1.6	4.17		
T	2022-07-15 00:21:47	33.968088925	-118.446701484	9.7	2.1	2.20		
T	2022-07-15 00:21:48	33.968088665	-118.446700197	9.9	0.9	0.00		
T	2022-07-15 00:21:49	33.968088554	-118.446700396	9.9	0.2	0.00		
T	2022-07-15 00:21:50	33.968091673	-118.446707267	9.0	0.8	2.39		
T	2022-07-15 00:21:51	33.968091509	-118.446707770	9.0	0.8	0.00		
T	2022-07-15 00:21:52	33.968092017	-118.446708593	7.6	0.2	0.31		
T	2022-07-15 00:21:53	33.968100932	-118.446710277	9.0	1.2	3.30		
T	2022-07-15 00:21:54	33.968104074	-118.446715325	8.7	1.7	1.92		
T	2022-07-15 00:21:55	33.968109254	-118.446720409	7.0	1.5	2.45		
T	2022-07-15 00:21:56	33.968107904	-118.446720586	5.8	0.7	0.44		
T	2022-07-15 00:21:57	33.968111965	-118.446721854	2.8	0.4	1.56		
T	2022-07-15 00:21:58	33.968124699	-118.446720862	3.8	2.1	4.66		
T	2022-07-15 00:21:59	33.968132402	-118.446720484	4.1	2.5	2.82		
T	2022-07-15 00:22:00	33.968136632	-118.446720415	4.1	1.5	1.53		
T	2022-07-15 00:22:01	33.968144210	-118.446719355	3.8	1.5	2.77		
T	2022-07-15 00:22:02	33.968156824	-118.446715949	4.3	2.6	4.72		
T	2022-07-15 00:22:03	33.968165614	-118.446713703	6.7	2.7	3.27		
T	2022-07-15 00:22:04	33.968173502	-118.446713145	6.8	2.1	2.87		
T	2022-07-15 00:22:05	33.968184688	-118.446709721	6.9	2.4	4.21		
T	2022-07-15 00:22:06	33.968201767	-118.446703938	4.1	3.6	6.46		
T	2022-07-15 00:22:07	33.968196702	-118.446702727	4.0	1.7	1.87		
T	2022-07-15 00:22:08	33.968205365	-118.446684748	7.9	2.0	6.29		
T	2022-07-15 00:22:09	33.968208143	-118.446680024	5.7	2.7	1.76		
T	2022-07-15 00:22:10	33.968208936	-118.446683864	0.4	0.5	1.25		
T	2022-07-15 00:22:11	33.968215838	-118.446686160	1.1	1.1	2.62		
T	2022-07-15 00:22:12	33.968212054	-118.446683649	2.8	0.4	1.56		
T	2022-07-15 00:22:13	33.968224797	-118.446675078	2.5	1.6	5.31		
T	2022-07-15 00:22:14	33.968232804	-118.446674194	3.9	2.8	2.92		
T	2022-07-15 00:22:15	33.968245404	-118.446667187	1.0	2.7	5.05		
T	2022-07-15 00:22:16	33.968264092	-118.446664898	4.1	4.0	6.85		
T	2022-07-15 00:22:17	33.968275225	-118.446660197	4.8	3.8	4.29		
T	2022-07-15 00:22:18	33.968288486	-118.446659167	5.4	3.1	4.84		
T	2022-07-15 00:22:19	33.968304736	-118.446657970	6.0	3.7	5.94		
T	2022-07-15 00:22:20	33.968317524	-118.446653050	6.2	3.7	4.89		
